,Title-Code,Title Name,Hindi Title,Register Serial No,Regn No.,Owner Name,State,Publication City/District,Periodity
0,NOF00025,ANUJA TIMES,,48613.0,48613/ 0,NOF,,,
1,NOF00028,NEEL GAGAN SAMACHAR TIMES,,58610.0,58610/ 94,NOT GIVEN,,,A
2,NOFHIN00548,AAP SUB KA SAHARA TIMES,,55677.0,55677/ 92,NOT GIVEN,,,W
3,NOFHIN00556,JAN JAGRAN TIMES,,62359.0,62359/ 94,NOT GIVEN,,,W
4,ANDENG00151,TODAY TIMES,टुडे टाइम्स,125860.0,ANDENG/2013/53305,PRADEEP KUMAR,AND,PORT BLAIR,D
5,ANDENG00160,THE KING TIMES,द किंग टाइम्स,136478.0,ANDENG/2015/63923,MOHD. SHAFIQUE,AND,PORT BLAIR,D
6,ANDENG00127,EMERALD TIMES,एमरलैंड टाइम्स,113839.0,ANDENG/2011/41282,R. GURU,AND,PORT BLAIR,F
7,ANDENG00029,THE PORT BLAIR TIMES,द पोर्ट ब्लेयर टाइम्स,63762.0,63762/ 96,DR P A MATHEWS,AND,PORT BLAIR,W
8,ANDENG00033,THE DAWN TIMES,द डॉन टाइम्स,64487.0,64487/ 96,P. GANESHAN,AND,SOUTH ANDAMAN/ PORT BLAIR,D
9,ANDENG00187,THE TIMES OF ANDAMAN,,,UR,REEYA CHAKRABORTY,AND,SOUTH ANDAMAN/ PORT BLAIR,D
10,ANDENG00052,NEW ISLAND TIMES,न्यू आइलैंड टाइम्स,72242.0,72242/ 99,K P KANNAN,AND,SOUTH ANDAMAN/ PORT BLAIR,W
11,APTEL14486,SHANTHI TIMES,,135257.0,APTEL/2015/62702,REDDYPALLISIVA SRINIVASA KUMAR,AP,ANANTAPUR,D
12,APTEL15851,ANANTA TIMES,,153959.0,APTEL/2021/81404,JODU RAMESH KUMAR,AP,ANANTAPUR,D
13,APTEL16160,AKSHRA TIMES,,,UR,BABAN JAVEED BASHA,AP,ANANTAPUR,D
14,APTEL15581,KADIRI TIMES,,150631.0,APTEL/2018/78076,SHAIK.SHABBIR SAHEB,AP,ANANTAPUR,D
15,APTEL15823,BHAGAVAN TIMES,,,,GADDAM SREEDHAR,AP,ANANTAPUR,D
16,APTEL13506,SHAMBU TIMES,,126782.0,APTEL/2013/54227,ILLURI PARAMESWAR REDDY,AP,ANANTAPUR,F
17,APTEL12574,PENNA TIMES,,119501.0,APTEL/2012/46944,BILLE. AKKULAPPA,AP,ANANTAPUR,M
18,APTEL15887,VAMSI TIMES,,,,KADAPA MADHUSUDHANA,AP,ANANTAPUR,M
19,APTEL16462,PAVITRA TIMES,,,,VYKUNTAM PRABHAKAR CHOWDARY,AP,ANANTAPUR,M
20,APTEL12035,NANDU TIMES,,117380.0,APTEL/2012/44823,B. SUBRAMANYAM REDDY,AP,ANANTAPUR,M
21,APTEL12410,THE TIMES OF ADITHYA,,114958.0,APTEL/2012/42401,PULIKANTI NAGENDRANATHA REDDY,AP,ANANTAPUR,M
22,APTEL15107,KHADRI TIMES,,143230.0,APTEL/2016/70675,PUPPALA ANJANEYLU,AP,ANANTAPUR,M
23,APTEL14637,NEW MAMATHA TIMES,न्यू ममता टाइम्स,137437.0,APTEL/2015/64882,M BALAVENKATAIAH,AP,ANANTAPUR,M
24,APTEL14921,TADIPATRI TIMES,,142695.0,APTEL/2016/70140,GORTHI JYOTHI,AP,ANANTAPUR,M
25,APTEL14165,BHAGAVAN TIMES,,130478.0,APTEL/2014/57923,GADDAM SREEDHAR,AP,ANANTAPUR,M
26,APTEL14259,SHALINI TIMES,शालिनी टाइम्स,133866.0,APTEL/2015/61311,REDDYPALLISIVA SRINIVASA KUMAR,AP,ANANTAPUR,M
27,APTEL15674,PAMIDI TIMES,,149407.0,APTEL/2018/76852,CHAKALI SIVAPRASAD,AP,ANANTAPUR,M
28,APTEL14100,HARIKA TIMES,हरिका टाइम्स,139032.0,APTEL/2016/66477,M. RAJASEKHAR REDDY,AP,ANANTAPUR,M
29,APTEL14563,KEERTHI TIMES,कीर्ति टाइम्स,136274.0,APTEL/2015/63719,K. SREENIVASULU,AP,ANANTAPUR,M
30,APTEL15448,HAPPY INDIA TIMES,,147939.0,APTEL/2017/75384,HAPPY INDIA TECHNOCORP PVT LTD,AP,ANANTAPUR,W
31,APBEN00010,PYRAMID TIMES,,69623.0,69623/ 98,DR. G.R. YUGANDHAR,AP,CHITTOOR,BM
32,APTEL10796,TIRUPATI HAPPY TIMES,तिरुपति हैप्पी टाइम्स,100340.0,APTEL/2009/27783,N. REDDEPPA NAIDU,AP,CHITTOOR,F
33,APTEL10268,ESWAR TIMES,,98822.0,APTEL/2008/26265,L. ESWAR,AP,CHITTOOR,M
34,APTEL14368,REGISTRATION TIMES,रजिस्ट्रेशन टाइम्स,136230.0,APTEL/2015/63675,N.PURUSHOTHAM,AP,CHITTOOR,M
35,APBIL14868,TIMES OF TIRUPATI,,,,K. NETHAJI,AP,CHITTOOR/ TIRUPATI,M
36,APENG03116,ENVIRONMENT AND POLLUTION TIMES,,111412.0,APENG/2010/38855,N. PURUSHOTHAM,AP,CHITTOR,M
